source,doy1998,station_wq_chl,latitude,longitude,field_coords,date,depth,tide,chlorophyll
EMP,8,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1998-01-08,NA,High Slack,0.3
EMP,112,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1998-04-22,NA,High Slack,4.03
EMP,140,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1998-05-20,NA,High Slack,2.81
EMP,169,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1998-06-18,NA,High Slack,2.54
EMP,198,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1998-07-17,12.3444,High Slack,1.94
EMP,225,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1998-08-13,NA,High Slack,2.05
EMP,257,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1998-09-14,NA,High Slack,2.51
EMP,288,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1998-10-15,NA,High Slack,3.53
EMP,320,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1998-11-16,10.0584,High Slack,2.9
EMP,406,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-02-10,13.716,High Slack,1.6
EMP,435,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-03-11,14.9352,High Slack,2.6
EMP,467,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-04-12,10.3632,High Slack,2.19
EMP,496,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-05-11,11.8872,High Slack,7.04
EMP,525,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-06-09,13.716,High Slack,4.83
EMP,554,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-07-08,14.84376,High Slack,3.15
EMP,582,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-08-05,15.5448,High Slack,4.74
EMP,628,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-09-20,9.7536,High Slack,1.69
EMP,657,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-10-19,9.2964,High Slack,3.08
EMP,687,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-11-18,10.3632,High Slack,1.76
EMP,719,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,1999-12-20,11.00328,High Slack,1.59
EMP,748,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-01-18,10.0584,High Slack,2.45
EMP,777,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-02-16,12.8016,High Slack,1.33
EMP,805,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-03-15,14.9352,High Slack,1.93
EMP,834,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-04-13,10.0584,High Slack,10.9
EMP,866,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-05-15,14.0208,High Slack,3.73
EMP,894,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-06-12,12.192,High Slack,2.2
EMP,922,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-07-10,10.668,High Slack,2.43
EMP,951,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-08-08,10.45464,High Slack,2.67
EMP,981,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-09-07,12.0396,High Slack,2.04
EMP,1009,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-10-05,9.69264,High Slack,1.96
EMP,1041,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-11-06,10.0584,High Slack,0.84
EMP,1071,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2000-12-06,NA,High Slack,1.65
EMP,1101,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-01-05,10.271760000000002,High Slack,1.61
EMP,1132,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-02-05,10.63752,High Slack,1.31
EMP,1174,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-03-19,13.95984,High Slack,1.16
EMP,1203,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-04-17,11.21664,High Slack,3.9
EMP,1233,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-05-17,12.100560000000002,High Slack,5.39
EMP,1261,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-06-14,9.63168,High Slack,4.11
EMP,1293,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-07-16,8.93064,High Slack,2.99
EMP,1322,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-08-14,9.38784,High Slack,3.54
EMP,1351,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-09-12,9.7536,High Slack,1.59
EMP,1380,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-10-11,9.7536,High Slack,2.38
EMP,1413,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-11-13,10.88136,High Slack,1.89
EMP,1440,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2001-12-10,13.35024,High Slack,0.97
EMP,1470,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-01-09,12.6492,High Slack,0.86
EMP,1499,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-02-07,12.192,High Slack,1.19
EMP,1527,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-03-07,10.9728,High Slack,1.81
EMP,1559,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-04-08,17.0688,High Slack,4.1
EMP,1587,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-05-06,11.2776,High Slack,10.3
EMP,1617,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-06-05,18.288,High Slack,5.12
EMP,1660,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-07-18,9.4488,High Slack,2.99
EMP,1689,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-08-16,9.4488,High Slack,2.63
EMP,1720,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-09-16,10.42416,High Slack,2.84
EMP,1749,EMP EZ2,38.076075714285714,-121.8277035820106,FALSE,2002-10-15,9.7536,High Slack,2.13
