SampleDate,StationCode,Centric Diatoms,Chrysophytes,Ciliates,Coccolithophores,Cryptophytes,Cyanobacteria,Dinoflagellates,Euglenoids,Green Algae,Haptophytes,Kathablepharids,Pennate Diatoms,Raphidophytes,Red Algae,Silico-flagellates,Synurophytes,Unknown Algae,Unknown Flagellates,Xanthophytes
1/7/75,D15,43.92837692,0,0,0,0,0,0,0,0,0,0,65.89256538,0,0,0,0,0,175.7135077,0
1/7/75,D19,21.96418846,0,0,0,0,0,0,0,21.96418846,0,0,241.606073,0,0,0,0,0,505.1763346,0
1/7/75,D24,175.7135077,0,0,0,0,0,0,0,0,0,0,219.6418846,0,0,0,0,0,65.89256538,0
1/7/75,D26,65.89256538,0,0,0,0,0,0,0,0,0,0,373.3912038,0,0,0,0,0,0,0
1/7/75,D4,175.7135077,0,0,0,0,0,0,0,43.92837692,0,0,307.4986384,0,0,0,0,0,43.92837692,0
1/8/75,D12,153.7493192,0,0,0,0,0,0,0,43.92837692,0,0,153.7493192,0,0,0,0,0,87.85675384,0
1/8/75,D6,153.7493192,0,0,0,0,21.96418846,0,0,0,0,0,65.89256538,0,0,0,0,0,0,0
1/8/75,D7,417.3195807,0,0,0,0,0,0,0,0,0,0,87.85675384,0,0,0,0,0,0,0
1/8/75,D8,241.606073,0,0,0,0,0,0,0,43.92837692,0,0,131.7851308,0,0,0,0,0,0,0
1/21/75,C10,87.85675384,0,0,0,0,131.7851308,43.92837692,0,131.7851308,0,0,527.140523,0,0,0,0,0,87.85675384,0
1/21/75,C7,21.96418846,0,0,0,0,241.606073,0,87.85675384,219.6418846,0,0,263.5702615,0,0,0,0,0,21.96418846,0
1/22/75,C3,131.7851308,0,0,0,0,0,0,0,65.89256538,0,0,307.4986384,0,0,0,0,0,131.7851308,0
1/22/75,C9,65.89256538,0,0,0,0,0,0,0,21.96418846,0,0,43.92837692,0,0,0,0,0,21.96418846,0
1/22/75,P12,87.85675384,0,0,0,0,0,0,131.7851308,21.96418846,0,0,153.7493192,0,0,0,0,0,0,0
2/3/75,C10,417.3195807,0,0,0,0,483.2121461,0,241.606073,571.0688999,0,0,790.7107845,0,0,0,0,0,153.7493192,0
2/3/75,C7,856.6033499,0,0,0,0,43.92837692,0,65.89256538,329.4628269,0,0,724.8182191,0,0,0,0,0,373.3912038,0
2/3/75,D28A,175.7135077,0,0,0,0,0,0,0,43.92837692,0,0,153.7493192,0,0,0,0,0,131.7851308,0
2/3/75,MD10,351.4270153,0,0,0,0,0,0,0,241.606073,0,0,153.7493192,0,0,0,0,0,43.92837692,0
2/3/75,P8,3711.94785,0,0,0,0,21.96418846,109.8209423,197.6776961,593.0330884,0,0,329.4628269,0,0,0,0,0,219.6418846,0
2/4/75,C3,65.89256538,0,0,0,0,0,0,0,0,0,0,461.2479576,0,0,0,0,0,0,0
2/4/75,C9,43.92837692,0,0,0,0,0,0,0,43.92837692,0,0,87.85675384,0,0,0,0,0,0,0
2/4/75,MD7,197.6776961,0,0,0,0,0,0,0,65.89256538,0,0,461.2479576,0,0,0,0,0,0,0
2/4/75,P12,527.140523,0,0,0,0,0,0,0,219.6418846,0,0,373.3912038,0,0,0,0,0,65.89256538,0
2/5/75,D15,307.4986384,0,0,0,0,0,0,0,21.96418846,0,0,219.6418846,0,0,0,0,0,21.96418846,0
2/5/75,D19,153.7493192,0,0,0,0,0,0,0,21.96418846,0,0,219.6418846,0,0,0,0,0,0,0
2/5/75,D24,21.96418846,0,0,0,0,0,0,0,21.96418846,0,0,197.6776961,0,0,0,0,0,0,0
2/5/75,D26,175.7135077,0,0,0,0,0,0,0,43.92837692,0,0,241.606073,0,0,0,0,0,43.92837692,0
2/5/75,D4,131.7851308,0,0,0,0,0,0,0,21.96418846,0,0,285.53445,0,0,0,0,0,0,0
2/6/75,D12,65.89256538,0,0,0,0,0,0,0,0,0,0,219.6418846,0,0,0,0,0,0,0
2/6/75,D6,87.85675384,0,0,0,0,0,0,0,21.96418846,0,0,65.89256538,0,0,0,0,0,0,0
2/6/75,D7,219.6418846,0,0,0,0,0,0,0,21.96418846,0,0,87.85675384,0,0,0,0,0,0,0
2/6/75,D8,109.8209423,0,0,0,0,0,0,0,21.96418846,0,0,153.7493192,0,0,0,0,0,0,0
2/6/75,D9,439.2837692,0,0,0,0,21.96418846,0,0,0,0,0,175.7135077,0,0,0,0,0,0,0
3/18/75,C10,505.1763346,0,0,0,0,21.96418846,0,0,219.6418846,0,0,1317.851308,0,0,0,0,0,0,0
3/18/75,C3,21.96418846,0,0,0,0,0,0,0,21.96418846,0,0,131.7851308,0,0,0,0,0,0,0
3/18/75,C7,527.140523,0,0,0,0,65.89256538,0,131.7851308,285.53445,0,0,1032.316858,0,0,0,0,0,65.89256538,0
3/18/75,C9,571.0688999,0,0,0,0,0,0,197.6776961,175.7135077,0,0,812.674973,0,0,0,0,0,21.96418846,0
3/18/75,D28A,65.89256538,0,0,0,0,0,0,0,43.92837692,0,0,43.92837692,0,0,0,0,0,65.89256538,0
3/18/75,MD10,417.3195807,0,0,0,0,0,0,0,285.53445,0,0,527.140523,0,0,0,0,0,21.96418846,0
3/18/75,MD7,153.7493192,0,0,0,0,0,0,0,21.96418846,0,0,219.6418846,0,0,0,0,0,0,0
