agency_cd,site_no,sample_dt,sample_tm,sample_start_time_datum_cd_reported,remark_cd_NO3_NO2_mg_L,result_va_NO3_NO2_mg_L,rpt_lev_va_NO3_NO2_mg_L,rpt_lev_cd_NO3_NO2_mg_L,remark_cd_NH4_mg_L,result_va_NH4_mg_L,rpt_lev_va_NH4_mg_L,rpt_lev_cd_NH4_mg_L,remark_cd_OrthoP_mg_L,result_va_OrthoP_mg_L,rpt_lev_va_OrthoP_L,rpt_lev_cd_OrthoP_mg_L,remark_cd_NO2_mg_L,result_va_NO2_mg_L,rpt_lev_va_NO2_mg_L,rpt_lev_cd_NO2_mg_L,remark_cd_TDN_mg_L,result_va_TDN_mg_L,rpt_lev_va_TDN_mg_L,rpt_lev_cd_TDN_mg_L,remark_cd_Chla_ugL,result_va_Chla_ugL,rpt_lev_va_Chla_ugL,rpt_lev_cd_Chla_ugL,remark_cd_Phaeo_ugL,result_va_Phaeo_ugL,rpt_lev_va_Phaeo_ugL,rpt_lev_cd_Phaeo_ugL,remark_cd_DOC_mgL,result_va_DOC_mgL,rpt_lev_va_DOC_mgL,rpt_lev_cd_DOC_mgL,remark_cd_A254_nm,result_va_A254_nm,rpt_lev_va_A254_nm,rpt_lev_cd_A254_nm,remark_cd_SUVA,result_va_SUVA,rpt_lev_va_SUVA,rpt_lev_cd_SUVA
USGS,11447650,1984-03-06,11:20:00,PST,NA,0.13,NA,NA,<,0.01,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11447650,1984-06-13,11:15:00,PDT,NA,0.1,NA,NA,NA,0.03,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11447650,1984-08-30,12:15:00,PDT,<,0.1,NA,NA,<,0.01,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11447650,1984-12-19,11:05:00,PST,NA,0.15,NA,NA,<,0.01,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11447650,1985-03-20,10:00:00,PST,NA,0.15,NA,NA,NA,0.03,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11447650,1985-06-12,13:00:00,PDT,<,0.1,NA,NA,NA,0.02,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11447650,1985-10-22,10:40:00,PDT,NA,0.13,NA,NA,NA,0.03,NA,NA,NA,0.02,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11447650,1985-12-18,11:00:00,PST,NA,0.22,NA,NA,NA,0.04,NA,NA,NA,0.02,NA,NA,<,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11447650,1986-03-20,10:45:00,PST,NA,0.12,NA,NA,NA,0.03,NA,NA,NA,0.03,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11447650,1986-06-10,09:30:00,PDT,NA,0.13,NA,NA,NA,0.03,NA,NA,NA,0.03,NA,NA,<,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
