"date","mean","max","min","sd","cv","site","n()","category","method","x","length"
1999-02-22,9.74074074074074,9.88888888888889,9.5,0.151806678014217,1.5584715993855,"RIV",6,"data","CDEC",1,"NA"
1999-02-23,9.9783950617284,10.4444444444444,9.16666666666667,0.372989108000922,3.73796693449733,"RIV",18,"data","CDEC",2,"NA"
1999-02-24,10.4050925925926,10.7777777777778,9.77777777777778,0.264909248615048,2.54595762851392,"RIV",24,"data","CDEC",3,"NA"
1999-02-25,10.4351851851852,10.8333333333333,9.88888888888889,0.24773080004968,2.37399524448673,"RIV",24,"data","CDEC",4,"NA"
1999-02-26,10.2708333333333,10.6666666666667,9.83333333333334,0.234739551428452,2.28549664676789,"RIV",24,"data","CDEC",5,"NA"
1999-02-27,10.3356481481481,10.8333333333333,9.77777777777778,0.254048891255851,2.45798703297934,"RIV",24,"data","CDEC",6,"NA"
1999-02-28,10.6689814814815,11.1666666666667,9.88888888888889,0.318291520243642,2.98333557702871,"RIV",24,"data","CDEC",7,"NA"
1999-03-01,11.0578703703704,11.6111111111111,10.1111111111111,0.373389965319727,3.37668965916102,"RIV",24,"data","CDEC",8,"NA"
1999-03-02,11.2662037037037,11.7777777777778,10.1666666666667,0.43528581767241,3.8636423512324,"RIV",24,"data","CDEC",9,"NA"
1999-03-03,11.4282407407407,11.8888888888889,10.3333333333333,0.406099220887241,3.55347100310489,"RIV",24,"data","CDEC",10,"NA"
1999-03-04,11.474537037037,11.8888888888889,10.4444444444444,0.360778057733848,3.14416221385964,"RIV",24,"data","CDEC",11,"NA"
1999-03-05,11.2013888888889,11.6666666666667,10.3888888888889,0.325104756229146,2.9023611219465,"RIV",24,"data","CDEC",12,"NA"
1999-03-06,10.8912037037037,11.2222222222222,10.2777777777778,0.260310297653764,2.39009667558822,"RIV",24,"data","CDEC",13,"NA"
1999-03-07,10.6365740740741,10.8888888888889,9.94444444444444,0.241872263406394,2.2739677430155,"RIV",24,"data","CDEC",14,"NA"
1999-03-08,10.4282407407407,10.8333333333333,9.94444444444444,0.296009951209223,2.83854159650132,"RIV",24,"data","CDEC",15,"NA"
1999-03-09,9.90509259259259,10.3333333333333,9.55555555555556,0.192783914941269,1.94631108330517,"RIV",24,"data","CDEC",16,"NA"
1999-03-10,9.66203703703704,10,9.16666666666667,0.203904892595907,2.11037167229113,"RIV",24,"data","CDEC",17,"NA"
1999-03-11,9.81944444444444,10.2222222222222,9.33333333333333,0.286224240098507,2.91487203494944,"RIV",24,"data","CDEC",18,"NA"
1999-03-12,10.0115740740741,10.5555555555556,9.44444444444444,0.382795311948675,3.82352774015786,"RIV",24,"data","CDEC",19,"NA"
1999-03-13,10.3634259259259,11,9.61111111111111,0.412817702982211,3.98340959768406,"RIV",24,"data","CDEC",20,"NA"
1999-03-14,10.5787037037037,11.0555555555556,10.0555555555556,0.314660850861036,2.97447456393802,"RIV",24,"data","CDEC",21,"NA"
1999-03-15,10.7685185185185,11.1111111111111,10.1666666666667,0.246100378533209,2.28536894940555,"RIV",24,"data","CDEC",22,"NA"
