source,station,latitude,longitude,date,datetime,chlorophyll,diss_ammonia,diss_nitrate_nitrite,diss_orthophos
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1997-05-08,1997-05-08 10:10:00,NA,NA,0.1,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-03-30,2016-03-30 11:00:00,NA,NA,0.12,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2000-05-17,2000-05-17 11:30:00,NA,NA,0.2,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2002-09-18,2002-09-18 11:20:00,NA,NA,NA,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1999-07-08,1999-07-08 11:30:00,NA,NA,0.08,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2010-06-17,2010-06-17 11:40:00,NA,NA,0.06,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2017-05-17,2017-05-17 13:00:00,NA,NA,NA,0.015
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2004-04-23,2004-04-23 13:20:00,NA,NA,0.19,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-05-11,2005-05-11 11:30:00,NA,NA,0.14,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1999-05-17,1999-05-17 10:20:00,NA,NA,0.08,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2003-06-17,2003-06-17 13:40:00,NA,NA,NA,NA
USGS CAWSC,USGS-11455315,38.2430111,-121.684286,2013-06-06,2013-06-06 14:00:00,NA,0.11,0.38,0.08
USGS CAWSC,USGS-11455315,38.2430111,-121.684286,2013-06-06,2013-06-06 10:15:00,NA,0.09,0.38,0.08
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2002-05-22,2002-05-22 13:00:00,NA,NA,0.14,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2015-06-16,2015-06-16 13:00:00,NA,0.01,NA,0.03
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-07-05,2006-07-05 14:30:00,NA,0.006,0.07,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2006-05-25,2006-05-25 11:10:00,NA,NA,0.08,0.01
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2005-10-27,2005-10-27 10:40:00,NA,NA,0.11,0.02
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-03-24,2009-03-24 12:30:00,NA,0.01,0.208,0.039
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2015-03-16,2015-03-16 09:50:00,NA,0.01,0.08,0.03
USGS CAWSC,USGS-11455350,38.21277778,-121.6691667,2013-06-06,2013-06-06 11:15:00,NA,0.11,0.379,0.082
